Source,Target,Type,id,weight
WOSSEARCH,UTOPDOCS,Undirected,164,51.0
WOSSEARCH,MENDREAD,Undirected,165,1411.0
WOSSEARCH,HYPOTHES,Undirected,166,76.0
WOSSEARCH,READOTHCL,Undirected,167,1328.0
WOSSEARCH,RTOOL,Undirected,168,1890.0
WOSSEARCH,SPSS,Undirected,169,3197.0
WOSSEARCH,MATLAB,Undirected,170,1546.0
WOSSEARCH,EXCEL,Undirected,171,6374.0
WOSSEARCH,IPYTHON,Undirected,172,298.0
WOSSEARCH,ROPENSCI,Undirected,173,174.0
WOSSEARCH,DHBOX,Undirected,174,45.0
WOSSEARCH,ANALYZOTHCL,Undirected,175,2901.0
WOSSEARCH,OPSCIFRAM,Undirected,176,631.0
WOSSEARCH,MYEXP,Undirected,177,161.0
WOSSEARCH,BENCHLING,Undirected,178,43.0
WOSSEARCH,PROTOCIO,Undirected,179,159.0
WOSSEARCH,BENCHFLY,Undirected,180,48.0
WOSSEARCH,SCIPROT,Undirected,181,331.0
WOSSEARCH,PROTOCONL,Undirected,182,184.0
WOSSEARCH,NOTEOTHCL,Undirected,183,1387.0
WOSSEARCH,WORD,Undirected,184,7856.0
WOSSEARCH,GTDRIVE,Undirected,185,2938.0
WOSSEARCH,AUTHOREA,Undirected,186,92.0
WOSSEARCH,LATEX,Undirected,187,1559.0
WOSSEARCH,SCRIVEN,Undirected,188,213.0
WOSSEARCH,OVERLEAF,Undirected,189,147.0
WOSSEARCH,SCALAR,Undirected,190,41.0
WOSSEARCH,WRITEOTHCL,Undirected,191,853.0
WOSSEARCH,ENDNOTE,Undirected,192,3982.0
WOSSEARCH,ZOTERO,Undirected,193,1324.0
WOSSEARCH,REFWORKS,Undirected,194,1193.0
WOSSEARCH,MENDREF,Undirected,195,1982.0
WOSSEARCH,PAPERS,Undirected,196,640.0
WOSSEARCH,REFME,Undirected,197,142.0
WOSSEARCH,CITAVI,Undirected,198,277.0
WOSSEARCH,REFOTHCL,Undirected,199,864.0
WOSSEARCH,ARXIV,Undirected,200,711.0
WOSSEARCH,PMC,Undirected,201,1045.0
WOSSEARCH,INREP,Undirected,202,3241.0
WOSSEARCH,BIORXIV,Undirected,203,103.0
WOSSEARCH,WORKPAP,Undirected,204,932.0
WOSSEARCH,RGATESHAREPUB,Undirected,205,4522.0
WOSSEARCH,SSRN,Undirected,206,394.0
WOSSEARCH,SHAREPUBOTHCL,Undirected,207,1252.0
WOSSEARCH,GITHUB,Undirected,208,1003.0
WOSSEARCH,FIGSDATA,Undirected,209,596.0
WOSSEARCH,ZENODATA,Undirected,210,185.0
WOSSEARCH,DRYAD,Undirected,211,296.0
